iter	Passed	Remaining
817	1162	258
818	1163	257
819	1164	255
820	1165	254
821	1166	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1172	245
827	1173	243
828	1174	242
829	1175	240
830	1176	239
831	1177	237
832	1178	236
833	1179	234
834	1181	233
835	1183	232
836	1184	230
837	1185	229
838	1186	227
839	1187	226
840	1188	224
841	1189	223
842	1190	221
843	1191	220
844	1192	218
845	1194	217
846	1195	215
847	1196	214
848	1198	213
849	1199	211
850	1200	210
851	1201	208
852	1202	207
853	1203	205
854	1204	204
855	1205	202
856	1206	201
857	1208	199
858	1209	198
859	1210	197
860	1211	195
861	1212	194
862	1213	192
863	1214	191
864	1215	189
865	1216	188
866	1217	186
867	1218	185
868	1219	183
869	1221	182
870	1223	181
871	1224	179
872	1225	178
873	1227	176
874	1228	175
875	1229	174
876	1230	172
877	1231	171
878	1232	169
879	1233	168
880	1234	166
881	1236	165
882	1238	164
883	1239	162
884	1240	161
885	1241	159
886	1242	158
887	1243	156
888	1244	155
889	1245	153
890	1246	152
891	1247	151
892	1248	149
893	1250	148
894	1253	147
895	1255	145
896	1256	144
897	1257	142
898	1259	141
899	1260	140
900	1262	138
901	1263	137
902	1280	137
903	1282	136
904	1284	134
905	1285	133
906	1286	131
907	1287	130
908	1288	128
909	1289	127
910	1290	126
911	1291	124
912	1292	123
913	1293	121
914	1294	120
915	1296	118
916	1297	117
917	1298	115
918	1299	114
919	1300	113
920	1301	111
921	1302	110
922	1303	108
923	1304	107
924	1305	105
925	1306	104
926	1307	103
927	1309	101
928	1311	100
929	1312	98
930	1314	97
931	1315	95
932	1317	94
933	1318	93
934	1319	91
935	1320	90
936	1321	88
937	1322	87
938	1323	85
939	1325	84
940	1327	83
941	1328	81
942	1329	80
943	1330	78
944	1331	77
945	1332	76
946	1333	74
947	1334	73
948	1335	71
949	1336	70
950	1337	68
951	1338	67
952	1340	66
953	1341	64
954	1342	63
955	1343	61
956	1344	60
957	1345	58
958	1346	57
959	1347	56
960	1348	54
961	1349	53
962	1350	51
963	1351	50
964	1353	49
965	1354	47
966	1355	46
967	1356	44
968	1357	43
969	1358	42
970	1360	40
971	1361	39
972	1362	37
973	1363	36
974	1364	34
975	1365	33
976	1366	32
977	1367	30
978	1369	29
979	1370	27
980	1371	26
981	1372	25
982	1373	23
